LEVEL,DATAYEARS,AGENCYID,COUNTY,DISTRICT,SCHOOL,NAME,AVERAGE_COMPOSITE_SCORE,STUDENTS_WITH_COMPOSITE_SCORES
SC,20172018,01-0003-001,1,3,1,KENESAW SECONDARY SCHOOL,21.5882,17
SC,20172018,01-0018-001,1,18,1,HASTINGS SENIOR HIGH SCHOOL,18.6383,235
SC,20172018,01-0090-001,1,90,1,ADAMS CENTRAL JR-SR HIGH SCH,22.3676,68
SC,20172018,01-0123-001,1,123,1,SILVER LAKE HIGH SCHOOL,20.5,16
SC,20172018,02-0009-001,2,9,1,NELIGH-OAKDALE HIGH SCHOOL,18.8182,22
SC,20172018,02-0018-001,2,18,1,ELGIN HIGH SCHOOL,22,11
SC,20172018,02-2001-003,2,2001,3,ORCHARD HIGH SCHOOL,21.0909,11
SC,20172018,06-0001-001,6,1,1,BOONE CENTRAL HIGH SCHOOL,20.1915,47
SC,20172018,06-0017-001,6,17,1,ST EDWARD HIGH SCHOOL,20.1429,14
SC,20172018,07-0006-001,7,6,1,ALLIANCE HIGH SCHOOL,17.8396,106
SC,20172018,07-0010-001,7,10,1,HEMINGFORD HIGH SCHOOL,20.2,25
SC,20172018,08-0051-001,8,51,1,BOYD COUNTY HIGH SCHOOL (SPENCER),20.7083,24
SC,20172018,09-0010-001,9,10,1,AINSWORTH HIGH SCHOOL,21.4545,22
SC,20172018,10-0002-001,10,2,1,GIBBON HIGH SCHOOL,17.0938,32
SC,20172018,10-0007-001,10,7,1,KEARNEY HIGH SCHOOL,19.538,316
SC,20172018,10-0009-001,10,9,1,ELM CREEK HIGH SCHOOL,19.4211,19
SC,20172018,10-0019-001,10,19,1,SHELTON HIGH SCHOOL,19.04,25
SC,20172018,10-0069-001,10,69,1,RAVENNA SENIOR HIGH,19.4103,39
SC,20172018,10-0105-001,10,105,1,PLEASANTON HIGH SCHOOL,18.8182,22
SC,20172018,10-0119-001,10,119,1,AMHERST HIGH SCHOOL,21.4615,26
SC,20172018,11-0001-001,11,1,1,HIGH SCHOOL AT TEKAMAH,19.5897,39
SC,20172018,11-0014-001,11,14,1,OAKLAND CRAIG SENIOR HIGH,19.7941,34
SC,20172018,11-0020-001,11,20,1,NORTHEAST SECONDARY SCHOOL,23,12
SC,20172018,12-0056-001,12,56,1,DAVID CITY SECONDARY SCHOOL,21.5122,41
SC,20172018,12-0502-001,12,502,1,HIGH SCHOOL AT BRAINARD,20.7778,18
SC,20172018,13-0001-001,13,1,1,PLATTSMOUTH HIGH SCHOOL,18.3231,130
SC,20172018,13-0022-001,13,22,1,WEEPING WATER HIGH SCHOOL,18.9583,24
SC,20172018,13-0032-001,13,32,1,LOUISVILLE HIGH SCHOOL,19.4909,55
SC,20172018,13-0056-001,13,56,1,CONESTOGA JR/SR HIGH SCHOOL,20.3913,46
SC,20172018,13-0097-001,13,97,1,ELMWOOD-MURDOCK JR/SR HIGH SCH,21.0645,31
SC,20172018,14-0008-001,14,8,1,HARTINGTON NEWCASTLE HIGH SCHOOL,20.9167,24
SC,20172018,14-0045-001,14,45,1,RANDOLPH HIGH SCHOOL,21.6111,18
SC,20172018,14-0054-001,14,54,1,LAUREL-CONCORD-COLERIDGE HIGH SCHOOL,21.5862,29
SC,20172018,14-0101-001,14,101,1,WYNOT HIGH SCHOOL,21.7273,11
SC,20172018,15-0010-001,15,10,1,CHASE COUNTY HIGH SCHOOL,18.1429,35
SC,20172018,15-0536-001,15,536,1,WAUNETA-PALISADE HIGH SCHOOL,17.4375,16
SC,20172018,16-0006-001,16,6,1,VALENTINE HIGH SCHOOL,19.2791,43
SC,20172018,16-0030-001,16,30,1,CODY-KILGORE HIGH SCHOOL,22.3333,15
