LEVEL,DATAYEARS,AGENCYID,COUNTY,DISTRICT,SCHOOL,NAME,AVERAGE_COMPOSITE_SCORE,STUDENTS_WITH_COMPOSITE_SCORES
SC,20182019,01-0003-001,1,3,1,KENESAW SECONDARY SCHOOL,22.1429,21
SC,20182019,01-0018-001,1,18,1,HASTINGS SENIOR HIGH SCHOOL,18.5752,266
SC,20182019,01-0090-001,1,90,1,ADAMS CENTRAL JR-SR HIGH SCH,22.241,83
SC,20182019,02-0009-001,2,9,1,NELIGH-OAKDALE HIGH SCHOOL,20.05,20
SC,20182019,06-0001-001,6,1,1,BOONE CENTRAL HIGH SCHOOL,18.4375,48
SC,20182019,06-0075-001,6,75,1,RIVERSIDE HIGH SCHOOL,18.4667,15
SC,20182019,07-0006-001,7,6,1,ALLIANCE HIGH SCHOOL,18.6,110
SC,20182019,07-0010-001,7,10,1,HEMINGFORD HIGH SCHOOL,20.1111,36
SC,20182019,08-0051-001,8,51,1,BOYD COUNTY HIGH SCHOOL (SPENCER),18.0455,22
SC,20182019,09-0010-001,9,10,1,AINSWORTH HIGH SCHOOL,18.871,31
SC,20182019,10-0002-001,10,2,1,GIBBON HIGH SCHOOL,17.5556,36
SC,20182019,10-0007-001,10,7,1,KEARNEY HIGH SCHOOL,19.7079,356
SC,20182019,10-0009-001,10,9,1,ELM CREEK HIGH SCHOOL,18.913,23
SC,20182019,10-0019-001,10,19,1,SHELTON HIGH SCHOOL,18.4815,27
SC,20182019,10-0069-001,10,69,1,RAVENNA SENIOR HIGH,19.7143,28
SC,20182019,10-0105-001,10,105,1,PLEASANTON HIGH SCHOOL,20.4211,19
SC,20182019,10-0119-001,10,119,1,AMHERST HIGH SCHOOL,19.5862,29
SC,20182019,11-0001-001,11,1,1,HIGH SCHOOL AT TEKAMAH,17.907,43
SC,20182019,11-0014-001,11,14,1,OAKLAND CRAIG JUNIOR-SENIOR HIGH,19.9706,34
SC,20182019,11-0020-001,11,20,1,NORTHEAST SECONDARY SCHOOL,20.8571,14
SC,20182019,12-0056-001,12,56,1,DAVID CITY SECONDARY SCHOOL,18.9778,45
SC,20182019,12-0502-001,12,502,1,HIGH SCHOOL AT BRAINARD,20.6667,24
SC,20182019,13-0001-001,13,1,1,PLATTSMOUTH HIGH SCHOOL,18.2385,130
SC,20182019,13-0022-001,13,22,1,WEEPING WATER HIGH SCHOOL,18.5263,19
SC,20182019,13-0032-001,13,32,1,LOUISVILLE HIGH SCHOOL,20.2683,41
SC,20182019,13-0056-001,13,56,1,CONESTOGA JR/SR HIGH SCHOOL,19.7551,49
