LEVEL,DATAYEARS,AGENCYID,COUNTY,DISTRICT,SCHOOL,NAME,AVERAGE_COMPOSITE_SCORE,STUDENTS_WITH_COMPOSITE_SCORES,DataAsOf
SC,20202021,01-0003-001,1,3,1,KENESAW SECONDARY SCHOOL,21,22,12/22/2021
SC,20202021,01-0018-001,1,18,1,HASTINGS SENIOR HIGH SCHOOL,18.2716,232,12/22/2021
SC,20202021,01-0090-001,1,90,1,ADAMS CENTRAL JR-SR HIGH SCH,20.7848,79,12/22/2021
SC,20202021,01-0123-001,1,123,1,SILVER LAKE HIGH SCHOOL,20.3077,13,12/22/2021
SC,20202021,02-0009-001,2,9,1,NELIGH-OAKDALE HIGH SCHOOL,19.0417,24,12/22/2021
SC,20202021,03-0500-001,3,500,1,ARTHUR COUNTY HIGH SCHOOL,20.2727,11,12/22/2021
SC,20202021,06-0001-001,6,1,1,BOONE CENTRAL HIGH SCHOOL,20.3684,57,12/22/2021
SC,20202021,06-0017-001,6,17,1,ST EDWARD HIGH SCHOOL,16.7,10,12/22/2021
SC,20202021,06-0075-001,6,75,1,RIVERSIDE HIGH SCHOOL,18.8421,19,12/22/2021
SC,20202021,07-0006-001,7,6,1,ALLIANCE HIGH SCHOOL,18.1058,104,12/22/2021
SC,20202021,07-0010-001,7,10,1,HEMINGFORD HIGH SCHOOL,18.8667,15,12/22/2021
SC,20202021,08-0051-001,8,51,1,BOYD COUNTY HIGH SCHOOL (SPENCER),15.0909,22,12/22/2021
SC,20202021,09-0010-001,9,10,1,AINSWORTH HIGH SCHOOL,20.7632,38,12/22/2021
SC,20202021,10-0002-001,10,2,1,GIBBON HIGH SCHOOL,18.8409,44,12/22/2021
SC,20202021,10-0007-001,10,7,1,KEARNEY HIGH SCHOOL,19.5714,378,12/22/2021
SC,20202021,10-0009-001,10,9,1,ELM CREEK HIGH SCHOOL,18.8824,17,12/22/2021
SC,20202021,10-0019-001,10,19,1,SHELTON HIGH SCHOOL,21.2857,21,12/22/2021
SC,20202021,10-0069-001,10,69,1,RAVENNA SENIOR HIGH,19.6429,28,12/22/2021
SC,20202021,10-0105-001,10,105,1,PLEASANTON HIGH SCHOOL,18.9524,21,12/22/2021
SC,20202021,10-0119-001,10,119,1,AMHERST HIGH SCHOOL,17.7778,27,12/22/2021
SC,20202021,10-0600-001,0,0,0,STATE OF NEBRASKA,13.9091,11,12/22/2021
SC,20202021,11-0001-001,11,1,1,HIGH SCHOOL AT TEKAMAH,17.4848,33,12/22/2021
SC,20202021,11-0014-001,11,14,1,OAKLAND CRAIG JUNIOR-SENIOR HIGH,18.5,34,12/22/2021
SC,20202021,11-0020-001,11,20,1,NORTHEAST SECONDARY SCHOOL,21.4,10,12/22/2021
SC,20202021,12-0056-001,12,56,1,DAVID CITY SECONDARY SCHOOL,18.4255,47,12/22/2021
SC,20202021,12-0502-001,12,502,1,HIGH SCHOOL AT BRAINARD,20.7333,15,12/22/2021
SC,20202021,13-0001-001,13,1,1,PLATTSMOUTH HIGH SCHOOL,17.6695,118,12/22/2021
SC,20202021,13-0022-001,13,22,1,WEEPING WATER HIGH SCHOOL,19.2857,21,12/22/2021
SC,20202021,13-0032-001,13,32,1,LOUISVILLE HIGH SCHOOL,20.2391,46,12/22/2021
SC,20202021,13-0056-001,13,56,1,CONESTOGA JR/SR HIGH SCHOOL,20.8421,38,12/22/2021
SC,20202021,13-0097-001,13,97,1,ELMWOOD-MURDOCK JR/SR HIGH SCH,22.6296,27,12/22/2021
SC,20202021,14-0008-001,14,8,1,HARTINGTON NEWCASTLE HIGH SCHOOL,19,23,12/22/2021
SC,20202021,14-0045-001,14,45,1,RANDOLPH HIGH SCHOOL,20.4615,13,12/22/2021
SC,20202021,14-0054-001,14,54,1,LAUREL-CONCORD-COLERIDGE HIGH SCHOOL,19.8,25,12/22/2021
SC,20202021,14-0101-001,14,101,1,WYNOT HIGH SCHOOL,22.6154,13,12/22/2021
SC,20202021,15-0010-001,15,10,1,CHASE COUNTY HIGH SCHOOL,18.5217,46,12/22/2021
SC,20202021,15-0536-001,15,536,1,WAUNETA-PALISADE HIGH SCHOOL,16.7778,18,12/22/2021
SC,20202021,16-0006-001,16,6,1,VALENTINE HIGH SCHOOL,18.3462,52,12/22/2021
SC,20202021,17-0001-001,17,1,1,SIDNEY HIGH SCHOOL,18.5556,90,12/22/2021
SC,20202021,17-0003-001,17,3,1,LEYTON HIGH SCHOOL,20.3571,14,12/22/2021
SC,20202021,17-0009-001,17,9,1,POTTER-DIX JR/SR HIGH SCHOOL,17.7692,13,12/22/2021
SC,20202021,18-0002-001,18,2,1,SUTTON SECONDARY SCHOOL,21,39,12/22/2021
SC,20202021,18-0011-001,18,11,1,HARVARD HIGH SCHOOL,18.1538,13,12/22/2021
SC,20202021,19-0039-001,19,39,1,LEIGH HIGH SCHOOL,21.9333,15,12/22/2021
SC,20202021,19-0058-001,19,58,1,CLARKSON JR-SR HIGH SCHOOL,18.9524,21,12/22/2021
SC,20202021,19-0070-001,19,70,1,HOWELLS SENIOR HIGH SCHOOL,21.5769,26,12/22/2021
SC,20202021,19-0123-001,19,123,1,SCHUYLER CENTRAL HIGH SCHOOL,15.4853,136,12/22/2021
SC,20202021,20-0001-001,20,1,1,WEST POINT-BEEMER HIGH SCHOOL,17.863,73,12/22/2021
SC,20202021,20-0020-001,20,20,1,BANCROFT-ROSALIE JR/SR HIGH SCHOOL,18.7059,17,12/22/2021
SC,20202021,20-0030-001,20,30,1,WISNER-PILGER HIGH SCHOOL,18.68,25,12/22/2021
SC,20202021,21-0015-001,21,15,1,ANSELMO-MERNA HIGH SCHOOL,19.8077,26,12/22/2021
SC,20202021,21-0025-001,21,25,1,BROKEN BOW HIGH SCHOOL,18.8814,59,12/22/2021
SC,20202021,21-0044-001,21,44,1,ANSLEY HIGH SCHOOL,20.6923,13,12/22/2021
SC,20202021,21-0180-001,21,180,1,CALLAWAY HIGH SCHOOL,17.9444,18,12/22/2021
SC,20202021,22-0011-001,22,11,1,SOUTH SIOUX HIGH SCHOOL,16.9011,283,12/22/2021
SC,20202021,22-0031-001,22,31,1,HOMER HIGH SCHOOL,16.6,25,12/22/2021
SC,20202021,23-0002-001,23,2,1,CHADRON SENIOR HIGH SCHOOL,19.9383,81,12/22/2021
SC,20202021,23-0071-001,23,71,1,CRAWFORD HIGH SCHOOL,17.9333,15,12/22/2021
SC,20202021,24-0001-001,24,1,1,LEXINGTON HIGH SCHOOL,16.4848,231,12/22/2021
SC,20202021,24-0004-001,24,4,1,OVERTON HIGH SCHOOL,19.3182,22,12/22/2021
SC,20202021,24-0011-001,24,11,1,COZAD HIGH SCHOOL,17.541,61,12/22/2021
SC,20202021,24-0020-001,24,20,1,GOTHENBURG SECONDARY SCHOOL,19.3065,62,12/22/2021
SC,20202021,24-0101-001,24,101,1,JUNIOR-SENIOR HIGH AT SUMNER,18.3125,16,12/22/2021
SC,20202021,25-0025-001,25,25,1,CREEK VALLEY HIGH SCHOOL,19.7647,17,12/22/2021
SC,20202021,25-0095-001,25,95,1,SOUTH PLATTE HIGH SCHOOL,19.5833,12,12/22/2021
SC,20202021,26-0001-001,26,1,1,PONCA HIGH SCHOOL,20.7632,38,12/22/2021
SC,20202021,26-0070-001,26,70,1,ALLEN HIGH SCHOOL,18.0667,15,12/22/2021
SC,20202021,26-0561-001,26,561,1,EMERSON-HUBBARD HIGH SCHOOL,17.0833,12,12/22/2021
SC,20202021,27-0001-001,27,1,1,FREMONT SENIOR HIGH SCHOOL,18.1643,347,12/22/2021
SC,20202021,27-0062-001,27,62,1,SCRIBNER-SNYDER SECONDARY SCH,17.8667,15,12/22/2021
