Type,School Year,County,District,School,Agency Name,ADM,Salaries,Benefits,Federal,State/Local,3% Building & Contents,Per Pupil Cost,DataAsOf
SC,20202021,1,3,1,KENESAW SECONDARY SCHOOL,114.24,10456,4333,241,17838,2351,20430,11/1/2021
SC,20202021,1,18,1,HASTINGS SENIOR HIGH SCHOOL,1104.89,6637,2741,380,10506,1739,12625,11/8/2021
SC,20202021,1,90,1,ADAMS CENTRAL JR-SR HIGH SCH,419.94,9584,4104,9,17149,2480,19638,11/1/2021
SC,20202021,1,123,1,SILVER LAKE HIGH SCHOOL,112.55,11223,4353,378,20420,3062,23860,10/27/2021
SC,20202021,2,9,1,NELIGH-OAKDALE HIGH SCHOOL,147.78,9727,4224,547,21219,2725,24491,11/1/2021
SC,20202021,2,18,1,ELGIN HIGH SCHOOL,62.69,13842,7079,932,24751,1292,26975,10/26/2021
SC,20202021,2,115,1,SUMMERLAND HIGH SCHOOL AT CLEARWATER,67.46,12336,5133,877,20148,2292,23317,10/26/2021
SC,20202021,2,115,3,SUMMERLAND HIGH SCHOOL AT ORCHARD,50.18,13286,6025,563,22516,2124,25203,10/26/2021
SC,20202021,2,115,5,SUMMERLAND HIGH SCH AT EWING,53.08,13294,5026,863,20877,2005,23745,10/26/2021
SC,20202021,3,500,1,ARTHUR COUNTY HIGH SCHOOL,52.99,14704,5438,240,26510,3558,30308,10/27/2021
SC,20202021,4,1,1,BANNER COUNTY HIGH SCHOOL,39.83,16810,6160,2065,27953,3451,33469,10/25/2021
SC,20202021,5,71,1,HIGH SCHOOL AT DUNNING,40,17475,8324,197,31793,6263,38253,10/27/2021
SC,20202021,6,1,1,BOONE CENTRAL HIGH SCHOOL,184.66,11372,4854,461,19133,2994,22588,11/1/2021
SC,20202021,6,17,1,ST EDWARD HIGH SCHOOL,82.19,11825,5956,286,20950,2366,23602,10/29/2021
SC,20202021,6,75,1,RIVERSIDE HIGH SCHOOL,61.85,11818,4947,505,21858,4349,26712,10/25/2021
SC,20202021,7,6,1,ALLIANCE HIGH SCHOOL,441.27,6986,3164,851,11850,2205,14906,11/3/2021
SC,20202021,7,10,1,HEMINGFORD HIGH SCHOOL,163.62,10157,4407,181,17344,1434,18959,12/15/2021
SC,20202021,8,51,1,BOYD COUNTY HIGH SCHOOL (SPENCER),94.72,10490,5302,460,18841,2277,21578,11/1/2021
SC,20202021,9,10,1,AINSWORTH HIGH SCHOOL,143.42,10271,4704,714,18633,3189,22536,10/27/2021
SC,20202021,10,2,1,GIBBON HIGH SCHOOL,239.79,8678,3946,460,14704,1601,16765,10/25/2021
SC,20202021,10,7,1,KEARNEY HIGH SCHOOL,1580.65,6616,1410,451,9041,1797,11289,10/29/2021
SC,20202021,10,9,1,ELM CREEK HIGH SCHOOL,138.15,10522,3702,306,16862,2049,19217,11/18/2021
SC,20202021,10,19,1,SHELTON HIGH SCHOOL,108.07,11741,5299,768,19661,2975,23404,10/26/2021
SC,20202021,10,69,1,RAVENNA SENIOR HIGH,180.13,11166,4572,707,17804,2311,20822,10/29/2021
SC,20202021,10,105,1,PLEASANTON HIGH SCHOOL,125.58,6604,2795,487,11633,1977,14097,10/26/2021
SC,20202021,10,119,1,AMHERST HIGH SCHOOL,182.9,5375,2540,834,9094,1519,11447,10/29/2021
SC,20202021,11,1,1,HIGH SCHOOL AT TEKAMAH,215.35,10862,4637,748,18239,1922,20909,11/1/2021
SC,20202021,11,14,1,OAKLAND CRAIG JUNIOR-SENIOR HIGH,209.08,9607,3946,524,15116,1739,17379,10/29/2021
SC,20202021,11,20,1,NORTHEAST SECONDARY SCHOOL,121.45,11440,4754,1227,20937,2090,24254,10/26/2021
SC,20202021,12,56,1,DAVID CITY SECONDARY SCHOOL,261.62,10768,4563,960,18892,2519,22371,10/28/2021
SC,20202021,12,502,1,HIGH SCHOOL AT BRAINARD,126.43,13995,5668,241,24486,2417,27144,10/28/2021
SC,20202021,13,1,1,PLATTSMOUTH HIGH SCHOOL,469.64,8709,3279,292,14644,2101,17037,10/28/2021
SC,20202021,13,22,1,WEEPING WATER HIGH SCHOOL,103.74,14332,5961,224,23577,2042,25843,11/1/2021
SC,20202021,13,32,1,LOUISVILLE HIGH SCHOOL,183.69,9910,3377,550,16392,2927,19869,11/12/2021
SC,20202021,13,56,1,CONESTOGA JR/SR HIGH SCHOOL,300.7,8423,3715,291,15120,1594,17005,10/28/2021
SC,20202021,13,97,1,ELMWOOD-MURDOCK JR/SR HIGH SCH,166.6,10213,4420,119,16843,3065,20027,10/29/2021
SC,20202021,14,8,1,HARTINGTON NEWCASTLE HIGH SCHOOL,156.36,11380,4353,45,18988,1760,20793,11/1/2021
SC,20202021,14,45,1,RANDOLPH HIGH SCHOOL,99.97,12107,5111,423,21479,7265,29167,10/29/2021
SC,20202021,14,54,1,LAUREL-CONCORD-COLERIDGE HIGH SCHOOL,123.34,11329,4829,279,20265,2875,23419,10/25/2021
SC,20202021,14,101,1,WYNOT HIGH SCHOOL,58.98,9342,3724,618,15853,1608,18079,10/29/2021
SC,20202021,15,10,1,CHASE COUNTY HIGH SCHOOL,280.95,7875,3195,633,13847,2632,17112,10/20/2021
SC,20202021,15,536,1,WAUNETA-PALISADE HIGH SCHOOL,64.65,11040,4997,417,21073,6207,27697,11/1/2021
SC,20202021,16,6,1,VALENTINE HIGH SCHOOL,193.37,10842,4277,242,19364,3529,23135,11/4/2021
SC,20202021,16,30,1,CODY-KILGORE HIGH SCHOOL,46.03,15194,6950,1377,32253,4029,37659,10/27/2021
SC,20202021,17,1,1,SIDNEY HIGH SCHOOL,366.17,7644,3116,474,12444,2188,15106,10/29/2021
SC,20202021,17,3,1,LEYTON HIGH SCHOOL,60.68,14910,6512,220,27925,5016,33161,10/26/2021
SC,20202021,17,9,1,POTTER-DIX JR/SR HIGH SCHOOL,92.41,11720,4860,540,22047,3870,26457,10/21/2021
SC,20202021,18,2,1,SUTTON SECONDARY SCHOOL,178.83,8963,3694,402,14940,2204,17546,10/26/2021
SC,20202021,18,11,1,HARVARD HIGH SCHOOL,82.6,17898,7168,1503,29153,1901,32557,10/28/2021
SC,20202021,19,39,1,LEIGH HIGH SCHOOL,95.07,11074,4534,138,19299,5567,25004,10/29/2021
SC,20202021,19,58,1,CLARKSON JR-SR HIGH SCHOOL,105.6,10831,4720,396,17874,2617,20887,10/28/2021
SC,20202021,19,70,1,HOWELLS SENIOR HIGH SCHOOL,151.79,11365,2455,859,15556,2909,19324,10/28/2021
SC,20202021,19,123,1,SCHUYLER CENTRAL HIGH SCHOOL,587.58,6973,3056,1409,11211,1469,14089,10/29/2021
SC,20202021,20,1,1,WEST POINT-BEEMER HIGH SCHOOL,264.07,9493,3909,788,15308,1875,17971,10/18/2021
SC,20202021,20,20,1,BANCROFT-ROSALIE JR/SR HIGH SCHOOL,138.03,9164,3694,781,14469,3100,18350,10/25/2021
SC,20202021,20,30,1,WISNER-PILGER HIGH SCHOOL,183.26,9374,3992,906,15307,3135,19348,11/19/2021
SC,20202021,21,15,1,ANSELMO-MERNA HIGH SCHOOL,106.72,9550,3827,452,16509,3264,20225,10/18/2021
SC,20202021,21,25,1,BROKEN BOW HIGH SCHOOL,261.87,7504,3462,95,12706,3044,15845,11/1/2021
SC,20202021,21,44,1,ANSLEY HIGH SCHOOL,79.02,9834,4265,844,17383,2824,21051,10/29/2021
