Level,Datayears,COUNTY,DISTRICT,SCHOOL,NAME,SUBJECT,SUBGROUP_TYPE,SUBGROUP_DESCRIPTION,AVERAGE_SCALE_SCORE
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,ALL STUDENTS,All Students,17.82
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,RACE ETHNICITY,American Indian or Alaska Native,13.04
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,RACE ETHNICITY,Asian,17.82
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,RACE ETHNICITY,Black or African American,13.49
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,RACE ETHNICITY,Hispanic,15.13
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,RACE ETHNICITY,Native Hawaiian or Other Pacific Islander,15.5
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,RACE ETHNICITY,White,19.03
ST,20162017,0,0,0,STATE OF NEBRASKA,ENGLISH LANGUAGE ARTS,RACE ETHNICITY,Two Or More Races,17.07
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,ALL STUDENTS,All Students,18.95
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,RACE ETHNICITY,American Indian or Alaska Native,14.64
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,RACE ETHNICITY,Asian,19.72
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,RACE ETHNICITY,Black or African American,14.96
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,RACE ETHNICITY,Hispanic,16.55
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,RACE ETHNICITY,Native Hawaiian or Other Pacific Islander,17.04
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,RACE ETHNICITY,White,20.02
ST,20162017,0,0,0,STATE OF NEBRASKA,MATHEMATICS,RACE ETHNICITY,Two Or More Races,17.94
ST,20162017,0,0,0,STATE OF NEBRASKA,SCIENCE,ALL STUDENTS,All Students,19.02
ST,20162017,0,0,0,STATE OF NEBRASKA,SCIENCE,RACE ETHNICITY,American Indian or Alaska Native,14.61
ST,20162017,0,0,0,STATE OF NEBRASKA,SCIENCE,RACE ETHNICITY,Asian,19.3
